$ buildtest report

name                          id        state      returncode  starttime            endtime                runtime  tags                    buildspec
returncode_list_mismatch      96b8582a  FAIL                2  2021/03/24 12:43:45  2021/03/24 12:43:45   0.088124  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      a5d39375  FAIL                2  2021/03/24 13:54:28  2021/03/24 13:54:28   0.110902  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      300e7cf4  FAIL                2  2021/03/24 13:54:30  2021/03/24 13:54:30   0.076949  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      f6bb56cd  FAIL                2  2021/03/24 13:54:31  2021/03/24 13:54:31   0.07733   tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      d200d4ae  FAIL                2  2021/03/24 13:54:35  2021/03/24 13:54:35   0.078482  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      20d1caa8  FAIL                2  2021/03/24 13:54:45  2021/03/24 13:54:45   0.07196   tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      a8947fbc  FAIL                2  2021/03/24 13:54:58  2021/03/24 13:54:58   0.074839  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      5491ff6d  FAIL                2  2021/03/24 13:54:58  2021/03/24 13:54:58   0.078519  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      e9ec86c8  FAIL                2  2021/03/24 13:55:06  2021/03/24 13:55:06   0.08104   tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      7b830bdd  FAIL                2  2021/03/24 14:37:26  2021/03/24 14:37:26   0.115361  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      ef0bc2cb  FAIL                2  2021/03/24 14:37:27  2021/03/24 14:37:27   0.081197  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      983ce204  FAIL                2  2021/03/24 14:37:29  2021/03/24 14:37:29   0.083977  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      9b1bd078  FAIL                2  2021/03/24 14:37:31  2021/03/24 14:37:32   0.083729  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      8240031d  FAIL                2  2021/03/24 14:37:36  2021/03/24 14:37:36   0.068561  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      7489378c  FAIL                2  2021/03/24 14:37:54  2021/03/24 14:37:54   0.069733  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      426d7918  FAIL                2  2021/03/24 14:37:55  2021/03/24 14:37:55   0.080862  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      445979e5  FAIL                2  2021/03/24 14:38:05  2021/03/24 14:38:05   0.086339  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      3be27d8c  FAIL                2  2021/03/24 16:23:05  2021/03/24 16:23:05   0.105598  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      29151d67  FAIL                2  2021/03/24 16:23:08  2021/03/24 16:23:08   0.10297   tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      624c2054  FAIL                2  2021/03/24 16:23:09  2021/03/24 16:23:09   0.076842  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      b5906e5a  FAIL                2  2021/03/24 16:23:12  2021/03/24 16:23:12   0.080195  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      03d23db5  FAIL                2  2021/03/24 16:23:23  2021/03/24 16:23:23   0.064058  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      f209214b  FAIL                2  2021/03/24 16:23:36  2021/03/24 16:23:36   0.079445  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      60b68bae  FAIL                2  2021/03/24 16:23:36  2021/03/24 16:23:37   0.078604  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_list_mismatch      ce6d6f37  FAIL                2  2021/03/24 16:23:51  2021/03/24 16:23:51   0.192134  tutorials fail          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          69ab13e7  PASS              128  2021/03/24 12:43:38  2021/03/24 12:43:38   0.108253  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          e0239c90  PASS              128  2021/03/24 12:43:39  2021/03/24 12:43:39   0.075443  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          35a3fcf9  PASS              128  2021/03/24 12:43:40  2021/03/24 12:43:40   0.077713  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          423aa94d  PASS              128  2021/03/24 12:43:44  2021/03/24 12:43:44   0.113838  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          e766d204  PASS              128  2021/03/24 12:43:45  2021/03/24 12:43:45   0.088077  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          6574fdaf  PASS              128  2021/03/24 13:54:28  2021/03/24 13:54:28   0.112334  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          0669ef7d  PASS              128  2021/03/24 13:54:30  2021/03/24 13:54:30   0.090084  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          12666e61  PASS              128  2021/03/24 13:54:31  2021/03/24 13:54:31   0.07615   tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          341d4bc9  PASS              128  2021/03/24 13:54:32  2021/03/24 13:54:32   0.080007  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          2aa86e43  PASS              128  2021/03/24 13:54:35  2021/03/24 13:54:35   0.076826  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          5325ad18  PASS              128  2021/03/24 13:54:45  2021/03/24 13:54:45   0.062354  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          cda1f7fc  PASS              128  2021/03/24 13:54:58  2021/03/24 13:54:58   0.08076   tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          f78875fb  PASS              128  2021/03/24 13:54:58  2021/03/24 13:54:58   0.079953  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          eb3a710d  PASS              128  2021/03/24 13:55:06  2021/03/24 13:55:06   0.107604  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          f93b67fa  PASS              128  2021/03/24 14:37:26  2021/03/24 14:37:26   0.115162  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          c69300f9  PASS              128  2021/03/24 14:37:27  2021/03/24 14:37:27   0.077938  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          f262e104  PASS              128  2021/03/24 14:37:29  2021/03/24 14:37:29   0.074964  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          30e1c596  PASS              128  2021/03/24 14:37:30  2021/03/24 14:37:30   0.08638   tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          9bb67c99  PASS              128  2021/03/24 14:37:32  2021/03/24 14:37:32   0.091998  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
returncode_int_match          18a91a3c  PASS              128  2021/03/24 14:37:36  2021/03/24 14:37:36   0.063886  tutorials pass          /Users/siddiq90/Documents/github/buildtest/tutorials/pass_returncode.yml
