$ buildtest report --format name,id,executor,state,returncode

name                          id        executor              state      returncode
variables_bash                d3f42d5e  generic.local.bash    PASS                0
variables_bash                c7c369a3  generic.local.bash    PASS                0
variables_bash                d9dfa745  generic.local.bash    PASS                0
variables_bash                ac14a13d  generic.local.bash    PASS                0
variables_bash                18090cb0  generic.local.bash    PASS                0
variables_bash                d2a3c19b  generic.local.bash    PASS                0
variables_bash                acef0c2f  generic.local.bash    PASS                0
variables_bash                444e5829  generic.local.bash    PASS                0
variables_bash                581c8e01  generic.local.bash    PASS                0
variables_bash                a484069b  generic.local.bash    PASS                0
variables_bash                51bdd022  generic.local.bash    PASS                0
variables_bash                55416aba  generic.local.bash    PASS                0
systemd_default_target        6e2c5f63  generic.local.bash    FAIL                1
systemd_default_target        75d9b2d2  generic.local.bash    FAIL                1
systemd_default_target        a4a7867b  generic.local.bash    FAIL                1
systemd_default_target        2d3f07d8  generic.local.bash    FAIL                1
systemd_default_target        6b441b39  generic.local.bash    FAIL                1
systemd_default_target        915a499d  generic.local.bash    FAIL                1
systemd_default_target        264266c7  generic.local.bash    FAIL                1
systemd_default_target        99abac35  generic.local.bash    FAIL                1
systemd_default_target        31220b6c  generic.local.bash    FAIL                1
systemd_default_target        91c388a1  generic.local.bash    FAIL                1
systemd_default_target        9c3086b5  generic.local.bash    FAIL                1
systemd_default_target        049d5d3a  generic.local.bash    FAIL                1
kernel_swapusage              d1d98b37  generic.local.bash    PASS                0
kernel_swapusage              ae82cf82  generic.local.bash    PASS                0
kernel_swapusage              e3d55dfe  generic.local.bash    PASS                0
kernel_swapusage              1e1b2bad  generic.local.bash    PASS                0
kernel_swapusage              f6026dad  generic.local.bash    PASS                0
kernel_swapusage              43f5acd4  generic.local.bash    PASS                0
kernel_swapusage              6c1eae11  generic.local.bash    PASS                0
kernel_swapusage              0d48171d  generic.local.bash    PASS                0
kernel_swapusage              ad87700a  generic.local.bash    PASS                0
kernel_swapusage              85421fe8  generic.local.bash    PASS                0
kernel_swapusage              8d9a681c  generic.local.bash    PASS                0
kernel_swapusage              5c6f1472  generic.local.bash    PASS                0
root_disk_usage               53e64a43  generic.local.bash    PASS                0
root_disk_usage               ebd37f6c  generic.local.bash    PASS                0
root_disk_usage               78a6ce03  generic.local.bash    PASS                0
root_disk_usage               6237eff1  generic.local.bash    PASS                0
root_disk_usage               331a014a  generic.local.bash    PASS                0
root_disk_usage               46b2e718  generic.local.bash    PASS                0
root_disk_usage               f4df45b5  generic.local.bash    PASS                0
root_disk_usage               f1038d4f  generic.local.bash    PASS                0
root_disk_usage               99195f7d  generic.local.bash    PASS                0
root_disk_usage               bab19caf  generic.local.bash    PASS                0
